loan_id,current_balance,interest_rate,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status
L-100728,63068.76,0.1306,Charged Off,74,Delta Financial,2024-01-14,2024-09-01,Available
L-100314,120374.81,0.1155,Current,0,Delta Financial,2023-05-10,2024-09-01,Expired
L-101166,109254.47,0.0854,Late (16-30 days),17,Alpha Servicing,2018-10-17,2024-09-01,Available
L-100804,71832.9,0.0487,Default,67,Alpha Servicing,2024-08-09,2024-09-01,Expired
L-100213,8584.75,0.0677,Fully Paid,0,Gamma Collections,2024-02-24,2024-09-01,Missing
L-100703,140457.58,0.0629,Fully Paid,0,Delta Financial,2022-12-21,2024-09-01,Expired
L-100153,172005.89,0.0303,Closed,0,Alpha Servicing,2024-06-13,2024-09-01,Expired
L-100566,23284.24,0.0517,Default,56,Delta Financial,2021-09-08,2024-09-01,Available
L-100394,44600.62,0.0518,Charged Off,196,Beta Loan Servicers,2024-04-18,2024-09-01,Missing
L-100843,69831.25,0.1428,Charged Off,107,Gamma Collections,2020-12-01,2024-09-01,Missing
L-101246,2502.56,0.1315,Late (31-120 days),77,Alpha Servicing,2021-09-04,2024-09-01,Missing
L-100936,193828.25,0.0744,Late (31-120 days),124,Alpha Servicing,2022-05-21,2024-09-01,Pending
L-100518,26512.24,0.1307,Late (31-120 days),81,Alpha Servicing,2020-08-28,2024-09-01,Missing
L-100709,121103.65,0.0933,Default,178,Gamma Collections,2018-12-02,2024-09-01,Available
L-100931,10651.28,0.063,Default,187,Delta Financial,2021-05-10,2024-09-01,Expired
L-101448,59968.02,0.0954,Fully Paid,0,Delta Financial,2021-12-14,2024-09-01,Expired
L-101744,63880.65,0.0622,Fully Paid,0,Beta Loan Servicers,2020-06-17,2024-09-01,Pending
L-100432,154026.05,0.0547,Default,181,Alpha Servicing,2020-10-22,2024-09-01,Expired
L-100649,110255.48,0.1196,Late (31-120 days),137,Beta Loan Servicers,2023-10-18,2024-09-01,Available
L-100149,5928.89,0.0646,Charged Off,60,Gamma Collections,2022-09-23,2024-09-01,
L-100927,114650.74,0.0491,Closed,0,Gamma Collections,2021-08-14,2024-09-01,Pending
L-101961,-500.0,0.0405,Current,0,Delta Financial,2023-04-11,2024-09-01,Expired
L-101118,29326.86,0.1031,Late (31-120 days),78,Delta Financial,2021-11-20,2024-09-01,Expired
L-100409,23072.15,0.0772,Charged Off,147,Delta Financial,2021-02-08,2024-09-01,Missing
L-101903,21861.61,0.0399,Fully Paid,0,Alpha Servicing,2021-06-15,2024-09-01,Pending
L-101748,374793.68,0.0712,Fully Paid,0,Delta Financial,2022-02-03,2024-09-01,Missing
L-100934,96770.48,0.0468,Fully Paid,0,Beta Loan Servicers,2025-11-13,2024-09-01,Expired
L-101459,327769.08,0.0559,Late (16-30 days),16,Delta Financial,2024-03-21,2024-09-01,Expired
L-101769,352321.06,0.047,Late (31-120 days),59,Beta Loan Servicers,2025-09-14,2024-09-01,Expired
L-101344,170849.04,0.0747,Charged Off,141,Delta Financial,2021-07-07,2024-09-01,Pending
L-100494,32520.22,0.1346,Default,128,Delta Financial,2026-05-05,2024-09-01,Pending
L-100672,121042.72,0.1087,Charged Off,160,Delta Financial,2025-03-21,2024-09-01,Expired
L-100714,159676.84,0.0726,Late (16-30 days),27,Alpha Servicing,2024-03-02,2024-09-01,Available
L-100813,181527.85,0.0835,Current,0,Beta Loan Servicers,2021-07-13,2024-09-01,Available
L-100868,38209.02,0.0491,Late (16-30 days),26,Alpha Servicing,2025-02-09,2024-09-01,Missing
L-101264,117597.43,0.1076,Charged Off,31,Delta Financial,2026-07-01,2024-09-01,Expired
L-101782,240158.49,0.0451,Default,134,Alpha Servicing,2020-04-17,2024-09-01,Pending
L-101772,87043.77,0.0502,Late (31-120 days),122,Gamma Collections,2020-08-25,2024-09-01,Pending
L-101345,18294.55,0.1192,Fully Paid,0,Delta Financial,2021-09-08,2024-09-01,Available
L-100416,68137.1,0.0539,Late (31-120 days),91,Beta Loan Servicers,2022-10-23,2024-09-01,Pending
L-101654,365142.56,0.0619,Current,0,Beta Loan Servicers,2021-04-08,2024-09-01,Missing
L-101111,78299.76,0.1399,Late (16-30 days),29,Gamma Collections,2020-01-08,2024-09-01,Expired
L-101458,394904.23,0.1095,Fully Paid,0,Gamma Collections,2023-10-09,2024-09-01,Pending
L-101649,230484.4,0.0598,Current,0,Gamma Collections,2020-09-20,2024-09-01,Available
L-101177,412097.99,0.0893,Fully Paid,0,Alpha Servicing,2023-06-25,2024-09-01,Pending
L-100727,22865.86,0.0631,Charged Off,57,Delta Financial,2020-02-12,2024-09-01,Available
L-101455,66534.82,0.079,Default,74,Alpha Servicing,2019-10-17,2024-09-01,Missing
L-101524,12812.01,0.0806,Late (31-120 days),82,Gamma Collections,2021-04-21,2024-09-01,Expired
L-101833,120369.43,0.0526,Current,0,Gamma Collections,2023-11-02,2024-09-01,Missing
L-101996,217365.66,0.0434,Current,0,Delta Financial,2019-06-21,2024-09-01,Pending
L-101360,48152.56,0.0791,Late (31-120 days),181,Beta Loan Servicers,2019-03-18,2024-09-01,Expired
L-100512,200834.84,0.0631,Fully Paid,0,Alpha Servicing,2025-08-29,2024-09-01,Pending
L-100139,143971.36,0.4623421404265058,Fully Paid,0,Alpha Servicing,2022-11-02,2024-09-01,Missing
L-100950,21291.36,0.1446,Current,0,Delta Financial,2020-08-25,2024-09-01,Available
L-101338,19833.15,0.1059,Current,109,Alpha Servicing,2021-06-20,2024-09-01,Missing
L-101093,198375.37,0.074,Default,131,Gamma Collections,2020-04-30,2024-09-01,Pending
L-100288,19466.3,-0.03543176520186896,Fully Paid,0,Alpha Servicing,2022-06-29,2024-09-01,Pending
L-100669,256971.39,0.1147,Closed,0,Beta Loan Servicers,2021-08-02,2024-09-01,Expired
L-101397,306352.84,0.0509,Current,0,Delta Financial,2022-02-19,2024-09-01,Available
L-100792,29272.11,0.1358,Charged Off,32,Gamma Collections,2024-05-04,2024-09-01,Expired
L-100094,92126.89,0.066,Current,112,Gamma Collections,2023-05-28,2024-09-01,Missing
L-101418,65565.62,0.0936,Closed,0,Beta Loan Servicers,2023-10-08,2024-09-01,Missing
L-101932,85411.53,0.0597,Late (31-120 days),39,Beta Loan Servicers,2022-12-24,2024-09-01,Available
L-101228,147074.34,0.0596,Closed,0,Alpha Servicing,2021-10-22,2024-09-01,Missing
L-101258,109287.99,0.1397,Late (16-30 days),22,Gamma Collections,2020-10-23,2024-09-01,Missing
L-101535,209990.88,0.1147,Late (31-120 days),123,Alpha Servicing,2022-12-28,2024-09-01,Missing
L-101194,210606.27,0.1339,Current,0,Beta Loan Servicers,2023-01-17,2024-09-01,Pending
L-100227,267543.21,0.1045,Default,96,Gamma Collections,2023-02-24,2024-09-01,Expired
L-101587,87665.65,0.0471,Late (16-30 days),17,Gamma Collections,2024-11-09,2024-09-01,Missing
L-101505,53260.04,0.1148,Closed,0,Beta Loan Servicers,2024-06-22,2024-09-01,Available
L-100885,69400.81,0.0834,Late (16-30 days),22,Gamma Collections,2024-03-03,2024-09-01,Available
L-100264,319127.28,0.0512,Charged Off,194,Gamma Collections,2025-08-14,2024-09-01,Missing
L-100540,127994.49,0.0993,Late (31-120 days),31,Beta Loan Servicers,2024-10-12,2024-09-01,Expired
L-100869,273858.76,0.0992,Current,0,Delta Financial,2023-04-01,2024-09-01,Pending
L-101234,207227.97,0.0749,Current,0,Beta Loan Servicers,2021-08-20,2024-09-01,Pending
L-100627,309124.72,0.0459,Default,173,Beta Loan Servicers,2024-12-01,2024-09-01,Pending
L-101298,194970.84,0.0479,Fully Paid,0,Delta Financial,2020-11-27,2024-09-01,Expired
L-100963,321372.06,0.0331,Charged Off,72,Delta Financial,2021-08-21,2024-09-01,Available
L-100862,27762.44,0.1065,Closed,0,Delta Financial,2025-05-22,2024-09-01,Pending
L-101441,238055.63,0.1089,Late (31-120 days),127,Alpha Servicing,2019-06-03,2024-09-01,Available
L-100344,312024.13,0.0511,Late (16-30 days),27,Delta Financial,2020-03-24,2024-09-01,Missing
L-101212,399844.91,0.0523,Default,95,Beta Loan Servicers,2024-01-13,2024-09-01,Expired
L-100401,54888.35,0.0861,Fully Paid,0,Delta Financial,2021-06-02,2024-09-01,Missing
L-100805,4385.88,0.0549,Default,61,Delta Financial,2022-11-15,2024-09-01,Expired
L-101641,102765.48,0.1496,Fully Paid,0,Beta Loan Servicers,2022-12-05,2024-09-01,Expired
L-101400,126027.03,0.1386,Late (16-30 days),17,Delta Financial,2019-02-19,2024-09-01,Missing
L-101099,187929.21,0.0478,Charged Off,41,Gamma Collections,2024-02-08,2024-09-01,Pending
L-100581,5000.0,0.0524,Closed,98,Alpha Servicing,2021-11-18,2024-09-01,Expired
L-100281,24197.84,0.0487,Late (31-120 days),107,Alpha Servicing,2025-06-01,2024-09-01,Missing
L-100883,247412.02,0.4507016812304725,Fully Paid,0,Alpha Servicing,2020-10-08,2024-09-01,Expired
L-101075,116320.37,0.1482,Late (31-120 days),78,Alpha Servicing,2019-08-11,2024-09-01,Missing
L-100741,138236.53,0.0444,Fully Paid,0,Beta Loan Servicers,2020-03-18,2024-09-01,Missing
L-100239,115705.59,0.1303,Late (31-120 days),119,Delta Financial,2024-07-11,2024-09-01,Available
L-100993,112512.34,0.0945,Late (16-30 days),19,Alpha Servicing,2024-01-10,2024-09-01,Pending
L-101208,165176.73,0.0418,Charged Off,56,Gamma Collections,2019-12-14,2024-09-01,Expired
L-100937,-500.0,0.0645,Fully Paid,0,Alpha Servicing,2020-09-19,2024-09-01,Available
L-100391,98212.01,0.0827,Closed,0,Alpha Servicing,2023-09-22,2024-09-01,Expired
L-100889,180854.17,0.0827,Fully Paid,0,Beta Loan Servicers,2019-12-31,2024-09-01,Available
L-100985,398691.45,0.1158,Current,0,Gamma Collections,2022-08-14,2024-09-01,Pending
L-101156,162316.25,0.0354,Charged Off,75,Beta Loan Servicers,2021-11-13,2024-09-01,Expired
L-101488,173146.08,0.0753,Current,0,Beta Loan Servicers,2024-07-06,2024-09-01,Available
L-101241,85858.79,0.1216,Late (31-120 days),149,Alpha Servicing,2018-11-19,2024-09-01,Available
L-100099,94140.85,0.0787,Default,137,Delta Financial,2022-10-09,2024-09-01,Missing
L-100185,208295.3,0.0965,Late (16-30 days),17,Alpha Servicing,2022-11-24,2024-09-01,Available
L-100008,68810.0,0.0395,Late (16-30 days),26,Delta Financial,2023-06-03,2024-09-01,Expired
L-100268,28933.88,0.0826,Default,86,Gamma Collections,2021-05-06,2024-09-01,Expired
L-101341,92697.44,0.0616,Closed,0,Beta Loan Servicers,2023-10-10,2024-09-01,Expired
L-101012,287569.42,0.1431,Current,0,Delta Financial,2020-10-09,2024-09-01,Expired
,1814.95,0.1263,Late (31-120 days),148,Delta Financial,2024-06-03,2024-09-01,Available
L-101242,146399.37,0.0684,Default,142,Beta Loan Servicers,2025-02-09,2024-09-01,Pending
L-101554,27903.97,0.0729,Fully Paid,0,Gamma Collections,2023-06-01,2024-09-01,Expired
L-100119,124243.69,0.0514,Closed,0,Alpha Servicing,2021-02-06,2024-09-01,Expired
L-101799,366313.68,0.0415,Default,189,Beta Loan Servicers,2022-09-30,2024-09-01,Pending
L-101877,136879.71,0.0441,Current,105,Delta Financial,2021-05-30,2024-09-01,Available
L-101270,136795.12,0.0346,Late (31-120 days),180,Alpha Servicing,2020-02-25,2024-09-01,Pending
L-100640,169506.83,0.0735,Closed,0,Beta Loan Servicers,2022-11-07,2024-09-01,Pending
L-101475,180282.2,0.1284,Default,176,Alpha Servicing,2021-03-22,2024-09-01,Missing
L-101517,149185.17,0.1491,Charged Off,93,Delta Financial,2022-06-05,2024-09-01,Expired
L-101384,179354.49,0.1177,Late (31-120 days),124,Gamma Collections,2024-09-15,2024-09-01,Missing
L-100260,115437.18,0.0885,Default,192,Beta Loan Servicers,2022-06-22,2024-09-01,Pending
L-100018,38537.14,0.1147,Charged Off,40,Gamma Collections,2021-03-07,2024-09-01,Missing
L-100384,43887.52,0.105,Current,0,Beta Loan Servicers,2024-07-21,2024-09-01,Expired
L-101105,150342.05,0.1385,Current,115,Delta Financial,2020-11-10,2024-09-01,Expired
L-101352,5000.0,0.1201,Closed,180,Beta Loan Servicers,2024-02-17,2024-09-01,Expired
L-100930,326399.02,0.0842,Current,0,Gamma Collections,2026-05-31,2024-09-01,Expired
L-100325,178037.31,-0.031215081825009233,Late (31-120 days),155,Alpha Servicing,2021-05-10,2024-09-01,Pending
L-100206,261931.14,0.075,Charged Off,43,Alpha Servicing,2021-04-18,2024-09-01,Available
L-100263,47112.17,0.0641,Current,0,Alpha Servicing,2020-11-20,2024-09-01,Pending
L-100254,15239.19,0.1404,Closed,0,Alpha Servicing,2023-04-05,2024-09-01,Pending
L-101588,84770.85,0.0436,Current,102,Alpha Servicing,2020-05-27,2024-09-01,Pending
L-100748,128043.86,0.1052,Current,0,Delta Financial,2019-11-22,2024-09-01,Expired
L-101304,5000.0,0.0523,Closed,19,Beta Loan Servicers,2023-03-16,2024-09-01,
L-100154,96829.84,0.0979,Current,0,Delta Financial,2021-09-30,2024-09-01,Missing
L-101716,43393.37,0.3949407203564143,Charged Off,168,Gamma Collections,2021-01-01,2024-09-01,Pending
L-100084,255320.63,0.0323,Current,0,Gamma Collections,2024-01-04,2024-09-01,Available
L-101661,-500.0,0.0732,Current,107,Delta Financial,2024-06-10,2024-09-01,Expired
L-101984,237794.88,-0.012058023892264264,Late (16-30 days),21,Beta Loan Servicers,2024-06-11,2024-09-01,Expired
L-100720,78274.58,0.0806,Fully Paid,0,Alpha Servicing,2026-02-20,2024-09-01,Available
L-101497,78594.13,0.1179,Closed,0,Gamma Collections,2019-10-07,2024-09-01,Pending
L-100783,261857.63,0.0871,Fully Paid,0,Beta Loan Servicers,2023-03-25,2024-09-01,Missing
L-100351,115035.58,0.1419,Default,124,Delta Financial,2022-02-20,2024-09-01,Pending
L-100624,41445.61,0.099,Default,111,Alpha Servicing,2025-11-27,2024-09-01,Expired
L-101480,1856.67,0.1089,Current,0,Beta Loan Servicers,2021-10-17,2024-09-01,Expired
L-100554,102692.27,0.0556,Closed,0,Gamma Collections,2020-09-21,2024-09-01,Missing
L-100854,159807.21,0.0303,Late (31-120 days),199,Gamma Collections,2023-08-13,2024-09-01,Missing
L-101410,138996.7,0.1296,Closed,0,Beta Loan Servicers,2020-07-02,2024-09-01,Missing
L-100374,246347.6,0.0426,Late (16-30 days),22,Delta Financial,2022-01-15,2024-09-01,Missing
L-100308,157305.06,0.0337,Late (16-30 days),25,Alpha Servicing,2024-06-21,2024-09-01,Pending
L-100073,69958.9,0.0707,Charged Off,161,Beta Loan Servicers,2026-07-01,2024-09-01,Missing
L-100192,126585.63,0.0673,Late (16-30 days),20,Delta Financial,2024-06-05,2024-09-01,Expired
L-100800,110340.5,0.0497,Late (31-120 days),194,Gamma Collections,2020-03-19,2024-09-01,Expired
L-100689,43776.91,0.121,Default,199,Gamma Collections,2023-04-15,2024-09-01,Expired
L-100870,82046.58,0.1367,Current,0,Alpha Servicing,2023-11-01,2024-09-01,Pending
L-100835,62281.64,0.0741,Default,107,Gamma Collections,2019-07-26,2024-09-01,Missing
L-100444,35181.11,0.1165,Late (31-120 days),32,Delta Financial,2024-03-08,2024-09-01,Available
L-101294,144135.96,0.1305,Closed,0,Beta Loan Servicers,2025-09-05,2024-09-01,Available
L-100482,137289.34,0.07,Current,0,Alpha Servicing,2023-09-04,2024-09-01,Expired
L-101232,196377.56,0.0838,Fully Paid,0,Gamma Collections,2020-07-22,2024-09-01,Available
L-100434,121182.53,0.0418,Closed,0,Alpha Servicing,2020-04-06,2024-09-01,Missing
L-101388,91678.22,0.0943,Late (31-120 days),186,Gamma Collections,2020-03-14,2024-09-01,Available
L-101857,103329.84,0.0568,Charged Off,175,Delta Financial,2020-07-23,2024-09-01,Expired
L-100074,20202.69,0.1211,Default,175,Delta Financial,2022-11-11,2024-09-01,Pending
L-101068,166474.2,0.0961,Charged Off,158,Alpha Servicing,2020-08-12,2024-09-01,Missing
L-100318,99243.2,0.1447,Late (31-120 days),157,Alpha Servicing,2021-12-25,2024-09-01,Missing
L-100589,253976.96,0.0631,Closed,0,Alpha Servicing,2023-01-04,2024-09-01,Pending
L-100386,15519.12,0.0595,Default,196,Alpha Servicing,2023-03-14,2024-09-01,Missing
L-101498,245130.41,0.1384,Current,0,Beta Loan Servicers,2023-09-06,2024-09-01,Available
L-100269,363953.42,0.0367,Late (16-30 days),19,Gamma Collections,2024-01-28,2024-09-01,Available
L-100784,128864.13,0.0761,Default,185,Gamma Collections,2023-07-16,2024-09-01,Missing
L-100262,310803.21,0.0396,Default,171,Alpha Servicing,2020-10-14,2024-09-01,Available
L-100661,20873.21,0.0514,Closed,0,Beta Loan Servicers,2020-05-02,2024-09-01,
L-100492,38527.58,0.0472,Late (16-30 days),23,Alpha Servicing,2020-01-20,2024-09-01,Expired
L-101379,50033.56,0.1239,Late (16-30 days),20,Delta Financial,2020-12-04,2024-09-01,Available
,13342.74,0.1386,Charged Off,147,Beta Loan Servicers,2019-10-08,2024-09-01,Pending
L-100187,-500.0,0.0743,Late (31-120 days),88,Gamma Collections,2020-09-07,2024-09-01,Available
L-101730,226626.38,0.0392,Current,0,Delta Financial,2025-11-05,2024-09-01,Pending
L-101936,196620.77,0.1365,Current,0,Beta Loan Servicers,2022-07-09,2024-09-01,Expired
L-100481,288187.75,0.1252,Charged Off,168,Beta Loan Servicers,2025-04-19,2024-09-01,Expired
L-100109,55753.11,0.142,Late (16-30 days),16,Beta Loan Servicers,2025-03-30,2024-09-01,Available
L-101317,114814.34,0.0667,Default,37,Gamma Collections,2021-10-07,2024-09-01,Expired
L-101630,95525.05,0.0918,Current,0,Delta Financial,2022-10-26,2024-09-01,Available
L-100642,48428.33,0.0624,Current,0,Alpha Servicing,2024-05-26,2024-09-01,Expired
L-100641,298194.82,0.0932,Late (16-30 days),20,Gamma Collections,2018-04-20,2024-09-01,Missing
L-101219,79958.48,0.1196,Late (16-30 days),26,Delta Financial,2021-02-28,2024-09-01,Available
L-101549,73959.51,0.0993,Late (31-120 days),62,Gamma Collections,2023-08-04,2024-09-01,Missing
L-101079,9110.41,0.0445,Default,127,Gamma Collections,2020-11-29,2024-09-01,Pending
L-101650,306781.65,0.0472,Late (31-120 days),47,Alpha Servicing,2022-03-27,2024-09-01,Pending
L-100134,214613.48,0.0403,Current,0,Gamma Collections,2023-05-10,2024-09-01,Missing
L-101377,109805.62,0.034,Late (31-120 days),67,Alpha Servicing,2025-02-16,2024-09-01,Pending
L-100560,370666.54,0.0425,Default,190,Alpha Servicing,2023-01-13,2024-09-01,Available
L-101942,69006.49,0.1011,Fully Paid,0,Alpha Servicing,2020-07-28,2024-09-01,Pending
L-100125,248075.14,0.1231,Late (31-120 days),97,Gamma Collections,2021-10-24,2024-09-01,Available
L-100289,48316.1,0.1472,Late (16-30 days),19,Delta Financial,2022-12-08,2024-09-01,Missing
,3138.01,0.1282,Closed,0,Gamma Collections,2020-11-20,2024-09-01,Expired
L-101830,49209.31,0.0779,Late (31-120 days),133,Delta Financial,2023-10-24,2024-09-01,Expired
L-100609,149839.89,0.035,Default,153,Gamma Collections,2021-03-06,2024-09-01,Available
L-101766,171190.69,0.0327,Charged Off,132,Delta Financial,2022-04-24,2024-09-01,Missing
L-101724,111155.49,0.1024,Fully Paid,0,Beta Loan Servicers,2022-06-12,2024-09-01,Expired
L-100100,195336.87,0.0427,Late (16-30 days),18,Alpha Servicing,2022-09-11,2024-09-01,Expired
L-100999,5000.0,0.0969,Closed,99,Alpha Servicing,2023-12-08,2024-09-01,Pending
L-100573,308141.68,0.1269,Fully Paid,0,Delta Financial,2020-02-16,2024-09-01,Missing
L-100755,16727.48,0.13,Default,188,Gamma Collections,2024-07-26,2024-09-01,Available
L-101561,67125.72,0.0937,Closed,0,Gamma Collections,2020-11-08,2024-09-01,Available
L-101527,277564.46,0.1002,Current,0,Delta Financial,2021-03-16,2024-09-01,Available
L-101229,82480.57,0.1018,Current,0,Alpha Servicing,2020-04-18,2024-09-01,Expired
L-101579,25496.03,0.05,Closed,0,Beta Loan Servicers,2022-08-24,2024-09-01,Pending
L-101852,85298.15,0.0887,Default,124,Beta Loan Servicers,2021-04-06,2024-09-01,Missing
L-100505,13652.06,0.1083,Current,0,Gamma Collections,2022-08-17,2024-09-01,Available
L-100377,171419.63,0.0891,Charged Off,97,Gamma Collections,2021-06-06,2024-09-01,Available
L-101055,33733.91,0.1318,Fully Paid,0,Gamma Collections,2021-10-26,2024-09-01,
L-100110,4087.14,0.1415,Closed,0,Gamma Collections,2020-02-09,2024-09-01,Available
L-101951,71161.75,0.1266,Fully Paid,0,Beta Loan Servicers,2023-07-16,2024-09-01,Expired
L-101310,210427.23,0.0549,Late (31-120 days),188,Gamma Collections,2023-12-02,2024-09-01,Pending
L-101157,297132.75,0.0945,Default,99,Beta Loan Servicers,2019-05-25,2024-09-01,Available
L-101245,314108.28,0.0806,Late (16-30 days),25,Alpha Servicing,2025-09-21,2024-09-01,Available
L-100953,106976.84,0.1015,Default,114,Beta Loan Servicers,2021-07-10,2024-09-01,Missing
L-100050,58872.03,0.0698,Current,0,Beta Loan Servicers,2024-10-13,2024-09-01,Expired
L-101786,19572.79,0.0736,Current,100,Gamma Collections,2021-03-25,2024-09-01,Expired
