loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
L-100253,B-62288,Personal,2018-11-08,2023-10-13,240894.95,92221.9,0.1373,60,LA,Home Improvement,F,6 years,>150k,Fully Paid,0,Beta Loan Servicers,2019-08-05,2024-04-28,Pending,OriginatePro
L-100254,B-40042,Mortgage,2020-10-19,2030-08-28,82217.81,15239.19,0.1404,120,UT,Other,D,19 years,<50k,Closed,0,Alpha Servicing,2023-04-05,2024-08-12,Pending,Manual
L-100255,B-85303,Personal,2023-07-04,2028-06-07,492275.37,409969.62,0.0636,60,IA,Medical Expenses,B,1 years,>150k,Default,169,Alpha Servicing,2024-12-29,2024-06-13,Missing,Manual
L-100256,B-25776,Student,2021-07-16,2024-06-30,10850.89,2914.57,0.0997,36,MA,Credit Card Refinancing,E,8 years,50k-100k,Charged Off,98,Beta Loan Servicers,2022-05-17,2024-08-20,,LendingWeb
L-100257,B-34105,Student,2022-10-03,2027-09-07,212451.01,149088.9,0.0738,60,MT,Credit Card Refinancing,D,5 years,50k-100k,Charged Off,89,Alpha Servicing,2024-11-09,2024-05-26,Missing,Manual
L-100258,B-59923,Mortgage,2019-08-21,2024-07-25,239128.58,25776.59,0.0806,60,FL,Other,E,17 years,100k-150k,Closed,0,Delta Financial,2020-07-23,2024-05-18,Available,Manual
L-100259,B-22972,Mortgage,2018-09-03,2023-08-08,407839.94,196265.44,0.1056,60,NH,Other,C,8 years,100k-150k,Late (31-120 days),174,Gamma Collections,2019-09-20,2024-01-14,Available,LendingWeb
L-100260,B-99074,Mortgage,2019-12-16,2029-10-24,180778.97,115437.18,0.0885,120,WV,Major Purchase,A,12 years,100k-150k,Default,192,Beta Loan Servicers,2022-06-22,2024-03-21,Pending,Manual
L-100261,B-92742,Student,2018-10-20,2021-10-04,85189.75,24072.44,0.068,36,ME,Other,C,19 years,>150k,Late (31-120 days),144,Gamma Collections,2020-12-23,2024-08-14,Missing,OriginatePro
L-100262,B-13027,Mortgage,2020-08-19,2030-06-28,470516.48,310803.21,0.0396,120,HI,Major Purchase,A,3 years,<50k,Default,171,Alpha Servicing,2020-10-14,2024-07-17,Available,Legacy
L-100263,B-44400,Mortgage,2018-12-12,2048-07-07,158138.47,47112.17,0.0641,360,SD,Home Improvement,B,16 years,50k-100k,Current,0,Alpha Servicing,2020-11-20,2024-06-28,Pending,Manual
L-100264,B-71235,Personal,2022-12-28,2027-12-02,484923.42,319127.28,0.0512,60,RI,Major Purchase,F,20 years,>150k,Charged Off,194,Gamma Collections,2025-08-14,2024-06-16,Missing,Legacy
L-100265,B-67915,Personal,2022-02-07,2051-09-03,133604.49,45807.41,0.03,360,WI,Home Improvement,C,9 years,>150k,Charged Off,33,Delta Financial,2024-11-02,2024-08-10,Available,Manual
L-100266,B-48393,Mortgage,2018-01-30,2027-12-09,98342.63,79237.57,0.0825,120,KS,Home Improvement,F,20 years,>150k,Closed,0,Delta Financial,2018-10-12,2024-05-03,Expired,OriginatePro
L-100267,B-77713,Personal,2021-03-12,2031-01-19,209387.42,163905.46,0.0519,120,ME,Debt Consolidation,F,14 years,>150k,Late (31-120 days),190,Delta Financial,2021-10-20,2024-06-01,Missing,Legacy
L-100268,B-80119,Auto,2020-02-01,2023-01-16,144646.7,28933.88,0.0826,36,AL,Home Improvement,A,4 years,<50k,Default,86,Gamma Collections,2021-05-06,2024-05-26,Expired,LendingWeb
L-100269,B-70776,Auto,2021-09-14,2024-08-29,422555.42,363953.42,0.0367,36,WY,Major Purchase,A,17 years,>150k,Late (16-30 days),19,Gamma Collections,2024-01-28,2024-07-27,Available,Legacy
L-100270,B-42631,Student,2022-12-20,2027-11-24,370121.41,46934.44,0.0853,60,WY,Debt Consolidation,E,6 years,>150k,Default,110,Gamma Collections,2023-06-30,2024-01-24,Available,LendingWeb
L-100271,B-73075,Personal,2020-03-24,2030-01-31,444322.19,351426.03,0.0561,120,DE,Home Improvement,F,13 years,100k-150k,Current,0,Beta Loan Servicers,2022-07-15,2024-05-19,Available,Manual
L-100272,B-41862,Auto,2018-06-22,2048-01-16,345761.24,77448.29,0.1225,360,KS,Home Improvement,D,2 years,100k-150k,Closed,0,Alpha Servicing,2018-09-21,2024-06-21,Missing,Legacy
L-100273,B-26492,Student,2020-08-11,2030-06-20,490929.48,358795.55,0.1208,120,NH,Other,B,0 years,>150k,Late (31-120 days),65,Gamma Collections,2023-03-19,2024-01-16,Expired,LendingWeb
L-100274,B-81137,Student,2020-02-17,2025-01-21,274092.17,98383.93,0.0862,60,RI,Medical Expenses,B,2 years,50k-100k,Default,106,Gamma Collections,2021-09-23,2024-06-15,Available,Manual
L-100275,B-34318,Auto,2022-01-31,2027-01-05,163743.58,24671.8,0.1461,60,MO,Home Improvement,E,15 years,50k-100k,Charged Off,103,Gamma Collections,2023-04-25,2024-06-04,Available,Legacy
L-100276,B-15737,Mortgage,2020-01-02,2022-12-17,105029.12,51285.32,0.0419,36,OR,Other,G,12 years,>150k,Charged Off,190,Gamma Collections,2020-03-22,2024-06-08,Available,Legacy
L-100277,B-37359,Student,2018-11-24,2048-06-19,401504.87,59647.62,0.097,360,NE,Credit Card Refinancing,G,1 years,100k-150k,Charged Off,41,Alpha Servicing,2021-04-26,2024-05-03,Missing,Legacy
L-100278,B-23267,Mortgage,2023-12-18,2053-07-13,98782.9,51461.31,0.0599,360,SD,Home Improvement,E,17 years,>150k,Fully Paid,0,Alpha Servicing,2026-03-11,2024-06-22,Expired,Manual
L-100279,B-23644,Mortgage,2020-01-09,2049-08-04,254822.93,159525.65,0.0941,360,RI,Major Purchase,C,10 years,100k-150k,Closed,0,Gamma Collections,2021-04-05,2024-07-27,Pending,OriginatePro
L-100280,B-83812,Mortgage,2022-03-17,2032-01-24,183204.23,84626.21,0.1452,120,AL,Other,A,9 years,<50k,Charged Off,65,Gamma Collections,2022-04-22,2024-05-08,Missing,LendingWeb
L-100281,B-12844,Personal,2023-09-26,2028-08-30,51672.13,24197.84,0.0487,60,KY,Credit Card Refinancing,E,7 years,50k-100k,Late (31-120 days),107,Alpha Servicing,2025-06-01,2024-07-19,Missing,Legacy
L-100282,B-52558,Student,2019-12-10,2049-07-05,413724.1,269614.1,0.0991,360,CT,Medical Expenses,F,9 years,<50k,Fully Paid,0,Delta Financial,2020-03-29,2024-01-25,Pending,LendingWeb
L-100283,B-66925,Student,2019-05-09,2024-04-12,375100.94,292422.14,0.1414,60,SD,Other,D,1 years,100k-150k,Charged Off,41,Gamma Collections,2020-12-11,2024-03-11,Missing,OriginatePro
L-100284,B-16621,Student,2022-12-31,2025-12-15,114932.39,38137.6,0.0773,36,FL,Credit Card Refinancing,A,15 years,<50k,Charged Off,133,Gamma Collections,2023-04-27,2024-07-17,Expired,OriginatePro
L-100285,B-27677,Student,2020-03-22,2049-10-16,200682.81,111793.28,0.0973,360,WV,Medical Expenses,B,7 years,<50k,Late (31-120 days),141,Gamma Collections,2022-03-23,2024-02-04,Expired,Manual
L-100286,B-57876,Personal,2020-02-20,2029-12-29,175539.83,109594.41,0.1224,120,HI,Credit Card Refinancing,E,14 years,50k-100k,Default,42,Beta Loan Servicers,2020-10-11,2024-06-05,Available,Legacy
L-100287,B-17148,Mortgage,2019-08-28,2029-07-06,11797.98,7728.1,0.0434,120,NH,Major Purchase,A,10 years,50k-100k,Fully Paid,0,Beta Loan Servicers,2020-04-22,2024-05-18,Expired,OriginatePro
L-100288,B-97590,Auto,2022-03-23,2025-03-07,131450.89,19466.3,-0.03543176520186896,36,VT,Medical Expenses,C,1 years,>150k,Fully Paid,0,Alpha Servicing,2022-06-29,2024-07-22,Pending,LendingWeb
L-100289,B-24141,Auto,2021-04-13,2050-11-07,119428.47,48316.1,0.1472,360,CT,Credit Card Refinancing,D,19 years,<50k,Late (16-30 days),19,Delta Financial,2022-12-08,2024-01-02,Missing,LendingWeb
L-100290,B-53721,Student,2022-05-31,2027-05-05,14094.25,9125.31,0.0726,60,MD,Home Improvement,E,8 years,<50k,Fully Paid,0,Gamma Collections,2024-12-15,2024-07-27,Available,LendingWeb
L-100291,B-39567,Mortgage,2021-10-31,2051-05-27,330181.22,56208.73,0.0759,360,UT,Medical Expenses,G,20 years,50k-100k,Default,92,Beta Loan Servicers,2023-02-09,2024-05-20,Pending,Manual
L-100292,B-81071,Mortgage,2020-04-26,2025-03-31,292610.2,189388.71,0.0543,60,FL,Credit Card Refinancing,F,16 years,50k-100k,Default,68,Beta Loan Servicers,2021-04-16,2024-02-18,Available,OriginatePro
L-100293,B-51628,Mortgage,2018-05-01,2028-03-09,440665.29,190029.03,0.0794,120,NH,Other,G,20 years,100k-150k,Late (16-30 days),28,Beta Loan Servicers,2018-09-17,2024-03-06,Available,LendingWeb
L-100294,B-89377,Mortgage,2020-08-09,2025-07-14,345252.05,133753.77,0.1126,60,NM,Home Improvement,E,19 years,>150k,Fully Paid,0,Gamma Collections,2021-03-15,2024-07-16,Expired,OriginatePro
L-100295,B-31467,Mortgage,2020-07-15,2023-06-30,207251.63,181355.97,0.1411,36,NE,Home Improvement,F,6 years,50k-100k,Current,0,Beta Loan Servicers,2023-03-21,2024-08-28,Expired,LendingWeb
L-100296,B-69971,Mortgage,2022-10-18,2052-05-13,389226.29,228220.49,0.1289,360,WA,Credit Card Refinancing,D,19 years,<50k,Charged Off,58,Delta Financial,2024-02-27,2024-01-08,Expired,Legacy
L-100297,B-83098,Student,2023-10-16,2026-09-30,98975.92,44701.79,0.1361,36,WY,Credit Card Refinancing,D,5 years,>150k,Late (31-120 days),187,Alpha Servicing,2025-10-21,2024-03-15,Expired,Legacy
L-100298,B-75622,Auto,2020-01-07,2024-12-11,199568.02,71598.77,0.033,60,NJ,Medical Expenses,F,6 years,>150k,Current,0,Gamma Collections,2021-01-02,2024-03-23,Available,Legacy
L-100299,B-24963,Student,Not A Date,2025-01-10,264289.57,107637.19,0.1249,36,NC,Medical Expenses,B,12 years,>150k,Current,0,Beta Loan Servicers,2024-09-16,2024-06-19,Missing,OriginatePro
L-100300,B-28953,Mortgage,2018-07-30,2048-02-23,157490.79,107744.08,0.1453,360,ME,Other,B,3 years,50k-100k,Late (16-30 days),16,Gamma Collections,2018-09-10,2024-08-16,Expired,Legacy
L-100301,B-89689,Student,2020-09-01,2025-08-06,296486.85,142482.56,0.4859974125760205,60,CO,Medical Expenses,E,0 years,50k-100k,Charged Off,102,Beta Loan Servicers,2020-11-20,2024-03-05,Available,LendingWeb
L-100302,B-14813,Mortgage,2018-05-13,2028-03-21,168899.99,28740.39,0.0431,120,ID,Home Improvement,F,9 years,50k-100k,Default,179,Gamma Collections,2021-01-20,2024-01-03,Pending,LendingWeb
L-100303,B-58309,Student,2018-10-05,2048-04-30,422438.27,64185.56,0.0865,360,DE,Other,G,8 years,100k-150k,Charged Off,136,Beta Loan Servicers,2020-10-16,2024-04-20,Available,Legacy
L-100304,B-84890,Auto,2023-06-05,2033-04-13,216391.53,168404.19,0.0612,120,OR,Medical Expenses,C,4 years,>150k,Charged Off,192,Delta Financial,2024-11-20,2024-03-20,Missing,LendingWeb
L-100305,B-35369,Auto,2019-04-30,2022-04-14,235118.39,173373.02,0.1185,36,IN,Medical Expenses,D,13 years,<50k,Late (31-120 days),120,Beta Loan Servicers,2019-06-10,2024-04-23,Pending,LendingWeb
L-100306,B-18891,Personal,2021-05-14,2031-03-23,384681.14,73500.8,0.07,120,MT,Other,E,19 years,<50k,Closed,0,Beta Loan Servicers,2021-12-28,2024-06-27,Pending,Manual
L-100307,B-72193,Auto,2019-07-11,2049-02-03,81916.21,38377.28,0.1338,360,MI,Major Purchase,G,13 years,<50k,Closed,0,Gamma Collections,2021-03-10,2024-06-18,Available,OriginatePro
L-100308,B-85680,Personal,2021-12-19,2024-12-03,484958.58,157305.06,0.0337,36,MO,Other,E,5 years,>150k,Late (16-30 days),25,Alpha Servicing,2024-06-21,2024-05-23,Pending,Legacy
L-100309,B-45585,Student,2018-12-22,2048-07-17,439139.12,-500.0,0.1295,360,MD,Home Improvement,E,9 years,50k-100k,Current,0,Gamma Collections,2021-04-03,2024-01-25,Missing,Legacy
L-100310,B-68166,Auto,2023-05-31,2028-05-04,99154.78,83181.88,0.1179,60,ND,Credit Card Refinancing,G,10 years,50k-100k,Closed,0,Alpha Servicing,2025-10-18,2024-03-07,Available,Manual
L-100311,B-60801,Auto,2018-01-17,2027-11-26,466506.99,303062.47,0.1013,120,CO,Credit Card Refinancing,D,1 years,<50k,Charged Off,199,Gamma Collections,2018-03-11,2024-05-21,Missing,LendingWeb
L-100312,B-36287,Mortgage,2021-03-19,2031-01-26,268476.52,192827.8,0.1105,120,LA,Home Improvement,B,8 years,<50k,Current,0,Alpha Servicing,2021-11-15,2024-06-18,Pending,LendingWeb
L-100313,B-28554,Personal,2020-09-29,2025-09-03,40265.22,23781.05,0.0706,60,NH,Debt Consolidation,B,0 years,>150k,Fully Paid,0,Alpha Servicing,2021-02-14,2024-07-02,Available,Manual
L-100314,B-61369,Mortgage,2023-01-01,2032-11-09,159658.12,120374.81,0.1155,120,TX,Medical Expenses,A,14 years,50k-100k,Current,0,Delta Financial,2023-05-10,2024-08-10,Expired,Manual
L-100315,B-40368,Mortgage,2019-08-12,2029-06-20,456866.5,188988.1,0.114,120,TX,Credit Card Refinancing,G,10 years,>150k,Default,38,Alpha Servicing,2021-01-09,2024-02-12,Expired,Manual
L-100316,B-32387,Personal,2021-11-28,2026-11-02,256435.08,108869.2,-0.01589460127080438,60,CT,Credit Card Refinancing,E,20 years,<50k,Closed,0,Gamma Collections,2023-06-26,2024-08-13,Expired,OriginatePro
L-100317,B-91379,Mortgage,2019-10-14,2049-05-09,194989.15,72647.37,0.1277,360,PA,Major Purchase,G,13 years,100k-150k,Charged Off,91,Beta Loan Servicers,2021-09-21,2024-02-24,Expired,Legacy
L-100318,B-87616,Student,2021-08-25,2024-08-09,411901.41,99243.2,0.1447,36,CA,Medical Expenses,A,19 years,>150k,Late (31-120 days),157,Alpha Servicing,2021-12-25,2024-04-27,Missing,Legacy
L-100319,B-29231,Mortgage,2023-01-30,2032-12-08,198041.42,111367.63,0.0535,120,UT,Credit Card Refinancing,C,18 years,100k-150k,Default,119,Alpha Servicing,2024-10-17,2024-01-20,Expired,OriginatePro
L-100320,B-48559,Auto,2022-02-21,2025-02-05,5417.44,2968.89,0.1474,36,DE,Credit Card Refinancing,G,0 years,50k-100k,Default,182,Delta Financial,2023-12-23,2024-06-23,Expired,Manual
L-100321,B-60012,Student,2020-05-15,2025-04-19,240061.35,60154.93,0.0762,60,MS,Major Purchase,B,9 years,50k-100k,Late (16-30 days),16,Alpha Servicing,2022-04-08,2024-01-05,Expired,Manual
L-100322,B-27796,Auto,2019-07-17,2049-02-09,430775.62,351024.4,0.1134,360,NV,Medical Expenses,B,14 years,>150k,Charged Off,146,Delta Financial,2020-08-13,2024-04-06,Expired,Legacy
L-100323,B-85751,Student,2020-08-27,2030-07-06,208364.72,111877.9,0.074,120,AZ,Medical Expenses,D,11 years,<50k,Charged Off,154,Alpha Servicing,2021-02-18,2024-05-15,Available,Legacy
L-100324,B-42142,Student,2018-11-16,2028-09-24,308454.36,253817.29,0.0942,120,AL,Major Purchase,D,16 years,>150k,Charged Off,115,Delta Financial,2019-12-12,2024-05-10,Missing,Legacy
L-100325,B-88333,Personal,2020-12-02,2023-11-17,316503.53,178037.31,-0.031215081825009233,36,TX,Credit Card Refinancing,G,19 years,<50k,Late (31-120 days),155,Alpha Servicing,2021-05-10,2024-02-28,Pending,LendingWeb
L-100326,B-27372,Personal,2021-02-01,2030-12-11,12030.49,2276.64,0.051,120,PA,Other,B,14 years,100k-150k,Closed,0,Beta Loan Servicers,2021-11-25,2024-04-16,Missing,Legacy
L-100327,B-54937,Auto,2019-08-18,2024-07-22,419619.04,420619.04,0.0796,60,MO,Home Improvement,F,14 years,50k-100k,Late (16-30 days),25,Gamma Collections,2019-11-11,2024-05-25,Available,Legacy
L-100328,B-31967,Student,2022-06-22,2052-01-16,154176.73,107448.91,0.1203,360,OH,Home Improvement,D,12 years,>150k,Late (31-120 days),68,Delta Financial,2022-08-03,2024-05-26,Expired,Manual
L-100329,B-98931,Personal,2023-12-12,2026-11-26,53195.34,27929.4,0.0725,36,NV,Medical Expenses,F,8 years,100k-150k,Late (31-120 days),99,Alpha Servicing,2024-09-28,2024-07-15,Missing,OriginatePro
L-100330,B-78151,Personal,2020-01-07,2029-11-15,276068.21,176198.19,0.1298,120,AL,Major Purchase,A,16 years,<50k,Fully Paid,0,Delta Financial,2021-01-30,2024-04-24,Pending,LendingWeb
L-100331,B-35307,Auto,2018-04-08,2021-03-23,33156.55,19075.32,0.1373,36,IN,Medical Expenses,F,3 years,<50k,Current,0,Beta Loan Servicers,2019-05-27,2024-03-04,Missing,LendingWeb
L-100332,B-48609,Student,2018-11-07,2048-06-02,461734.22,148266.02,0.0812,360,TX,Credit Card Refinancing,C,5 years,<50k,Late (31-120 days),46,Delta Financial,2020-01-08,2024-06-02,Pending,LendingWeb
L-100333,B-33321,Student,2018-10-12,2048-05-07,489813.88,127613.8,0.0771,360,TN,Major Purchase,A,4 years,>150k,Late (16-30 days),25,Alpha Servicing,2021-06-02,2024-08-23,Pending,Legacy
L-100334,B-14569,Auto,2018-10-16,2028-08-24,389732.4,44823.84,0.0897,120,TN,Other,A,1 years,>150k,Late (31-120 days),69,Gamma Collections,2021-05-29,2024-07-19,Available,Manual
L-100335,B-72670,Student,2022-07-13,2025-06-27,272363.71,27957.01,0.1445,36,WY,Major Purchase,A,18 years,100k-150k,Late (31-120 days),108,Delta Financial,2022-10-07,2024-02-12,Pending,Legacy
L-100336,B-70245,Personal,2020-04-11,2025-03-16,279465.36,244255.62,0.1093,60,MD,Other,D,3 years,100k-150k,Default,52,Delta Financial,2022-06-02,2024-04-05,Available,OriginatePro
L-100337,B-13324,Mortgage,2023-06-27,2053-01-20,36181.35,19264.46,0.0669,360,OH,Major Purchase,A,1 years,100k-150k,Current,0,Gamma Collections,2025-10-10,2024-01-13,Available,OriginatePro
L-100338,B-95701,Student,2019-09-03,2024-08-07,462783.83,59931.49,0.047,60,TN,Debt Consolidation,D,19 years,<50k,Late (16-30 days),27,Beta Loan Servicers,2019-10-17,2024-03-21,Available,LendingWeb
L-100339,B-22752,Student,2019-12-01,2022-11-15,409811.09,75841.67,0.0897,36,SC,Home Improvement,A,6 years,>150k,Late (31-120 days),133,Gamma Collections,2020-05-02,2024-03-11,Missing,Legacy
L-100340,B-87736,Mortgage,2021-10-06,2024-09-20,64769.02,13795.12,0.0798,36,VT,Credit Card Refinancing,E,5 years,>150k,Late (16-30 days),30,Alpha Servicing,2022-03-21,2024-02-26,Expired,OriginatePro
L-100341,B-12048,Student,2018-11-27,2021-11-11,8575.88,7211.54,0.1148,36,PA,Credit Card Refinancing,D,15 years,50k-100k,Late (16-30 days),18,Gamma Collections,2020-06-14,2024-08-14,Missing,OriginatePro
,B-90024,Auto,2020-01-08,2049-08-03,307964.66,52482.4,0.1292,360,MD,Credit Card Refinancing,D,0 years,50k-100k,Late (16-30 days),17,Alpha Servicing,2021-11-01,2024-06-28,Missing,Manual
L-100343,B-92111,Mortgage,2021-02-06,2024-01-22,100890.9,74385.89,0.1122,36,NM,Major Purchase,B,5 years,<50k,Current,0,Gamma Collections,2021-12-24,2024-04-14,Pending,LendingWeb
L-100344,B-90847,Student,2018-06-27,2021-06-11,371506.36,312024.13,0.0511,36,AK,Major Purchase,E,3 years,<50k,Late (16-30 days),27,Delta Financial,2020-03-24,2024-06-14,Missing,LendingWeb
L-100345,B-40154,Auto,2021-08-28,2026-08-02,53541.75,36954.42,0.1344,60,MO,Home Improvement,A,15 years,>150k,Current,0,Delta Financial,2022-02-22,2024-04-20,Expired,OriginatePro
L-100346,B-60768,Personal,2019-07-13,2049-02-05,361311.5,218816.35,0.1471,360,IL,Credit Card Refinancing,B,1 years,<50k,Late (31-120 days),65,Alpha Servicing,2021-12-31,2024-08-15,Expired,OriginatePro
L-100347,B-55033,Mortgage,2021-04-23,2026-03-28,395825.75,241611.79,0.1034,60,HI,Medical Expenses,E,7 years,<50k,Default,164,Delta Financial,2023-10-22,2024-04-19,Expired,Manual
L-100348,B-46591,Auto,2022-10-20,2027-09-24,127676.56,57122.36,0.0567,60,PA,Home Improvement,E,0 years,>150k,Current,0,Alpha Servicing,2024-03-14,2024-01-14,Expired,Manual
L-100349,B-22844,Student,2023-07-22,2028-06-25,46130.3,32404.83,0.1132,60,NE,Home Improvement,B,11 years,100k-150k,Late (16-30 days),26,Alpha Servicing,2023-09-06,2024-08-22,Pending,OriginatePro
L-100350,B-70199,Auto,2023-02-07,2052-09-02,387058.33,309398.65,0.0786,360,MS,Other,D,20 years,<50k,Closed,0,Alpha Servicing,2024-04-06,2024-06-17,Available,LendingWeb
L-100351,B-65823,Personal,2020-04-28,2023-04-13,312125.33,115035.58,0.1419,36,NC,Other,C,1 years,<50k,Default,124,Delta Financial,2022-02-20,2024-01-12,Pending,OriginatePro
L-100352,B-94957,Auto,2020-04-18,2025-03-23,490719.55,142753.34,0.0436,60,NM,Other,G,18 years,50k-100k,Closed,0,Beta Loan Servicers,2021-04-11,2024-06-09,Expired,LendingWeb
L-100353,B-17138,Auto,2022-03-08,2032-01-15,228943.27,114737.23,0.1295,120,NM,Other,E,17 years,100k-150k,Default,189,Gamma Collections,2024-07-04,2024-02-07,Expired,Legacy
L-100354,B-20508,Student,2020-01-03,2029-11-11,479336.97,77440.65,0.0498,120,DE,Other,B,15 years,50k-100k,Closed,0,Beta Loan Servicers,2021-07-19,2024-01-10,Expired,OriginatePro
L-100355,B-72115,Personal,2022-09-17,2052-04-12,370166.08,43378.22,0.0527,360,AK,Home Improvement,G,16 years,100k-150k,Default,179,Gamma Collections,2024-08-18,2024-06-16,Expired,Manual
L-100356,B-49856,Mortgage,2021-06-09,2026-05-14,395687.51,111356.58,0.0746,60,ME,Debt Consolidation,B,11 years,100k-150k,Default,73,Beta Loan Servicers,2023-07-07,2024-05-06,Missing,OriginatePro
L-100357,B-31135,Mortgage,2019-04-24,2022-04-08,496917.65,278085.12,0.0829,36,MS,Home Improvement,B,17 years,<50k,Fully Paid,0,Gamma Collections,2020-05-10,2024-03-12,Expired,OriginatePro
L-100358,B-79945,Personal,2019-05-13,2022-04-27,205258.35,102533.43,0.0474,36,NJ,Credit Card Refinancing,B,0 years,100k-150k,Fully Paid,0,Gamma Collections,2020-10-09,2024-05-25,Missing,Manual
L-100359,B-54392,Auto,2023-05-16,2026-04-30,74014.53,40024.69,0.067,36,MT,Medical Expenses,G,7 years,>150k,Late (31-120 days),54,Gamma Collections,2023-08-10,2024-04-19,Missing,LendingWeb
L-100360,B-35652,Auto,2018-12-09,2048-07-04,340146.38,294600.43,0.1471,360,MT,Home Improvement,D,10 years,<50k,Fully Paid,0,Gamma Collections,2020-02-19,2024-03-23,Expired,LendingWeb
L-100361,B-60608,Personal,2018-02-19,2027-12-29,175735.51,60886.78,0.0835,120,OK,Debt Consolidation,B,14 years,>150k,Closed,0,Delta Financial,2019-01-10,2024-03-26,Expired,Manual
L-100362,B-28293,Auto,2019-08-12,2024-07-16,155099.41,138147.97,0.093,60,MI,Debt Consolidation,E,12 years,<50k,Current,0,Delta Financial,2021-06-26,2024-05-14,Missing,Manual
L-100363,B-84437,Mortgage,2020-03-27,2025-03-01,416980.44,138258.43,0.0889,60,MD,Medical Expenses,C,15 years,>150k,Late (16-30 days),16,Alpha Servicing,2020-09-30,2024-05-10,Expired,Legacy
L-100364,B-95696,Personal,2022-09-05,2027-08-10,248483.82,161582.7,0.0594,60,DE,Credit Card Refinancing,D,2 years,100k-150k,Charged Off,154,Delta Financial,2025-03-12,2024-05-21,Expired,Legacy
L-100365,B-58916,Auto,2020-11-29,2025-11-03,292918.98,63536.97,0.49729255387262106,60,VT,Home Improvement,C,5 years,<50k,Late (31-120 days),123,Delta Financial,2022-10-11,2024-06-02,Pending,LendingWeb
L-100366,B-79417,Auto,2023-10-06,2028-09-09,384389.01,94789.56,0.0413,60,WI,Home Improvement,E,10 years,100k-150k,Closed,0,Gamma Collections,2024-08-08,2024-06-04,Pending,OriginatePro
L-100367,B-11690,Mortgage,2023-10-24,2033-09-01,189642.03,92529.99,0.0708,120,HI,Debt Consolidation,B,4 years,50k-100k,Closed,0,Beta Loan Servicers,2026-02-14,2024-02-14,Expired,Legacy
L-100368,B-25278,Mortgage,2018-03-13,2047-10-07,177363.91,115790.35,0.0467,360,NH,Medical Expenses,E,10 years,50k-100k,Fully Paid,0,Gamma Collections,2018-05-11,2024-02-08,Missing,OriginatePro
L-100369,B-39697,Personal,2019-05-29,2024-05-02,69458.03,11313.6,0.1129,60,DE,Debt Consolidation,A,15 years,>150k,Current,0,Beta Loan Servicers,2019-10-16,2024-01-26,Available,Manual
L-100370,B-25587,Personal,2018-06-27,2021-06-11,154314.67,16699.61,0.0416,36,DE,Medical Expenses,B,18 years,50k-100k,Late (16-30 days),26,Gamma Collections,2018-08-25,2024-02-05,Pending,LendingWeb
L-100371,B-56163,Mortgage,2023-08-13,2028-07-17,254930.07,39429.94,0.1284,60,WI,Debt Consolidation,E,6 years,50k-100k,Current,100,Alpha Servicing,2025-09-23,2024-02-07,Expired,LendingWeb
L-100372,B-87251,Mortgage,2022-12-06,2025-11-20,94520.03,36282.26,0.0756,36,IN,Medical Expenses,B,13 years,<50k,Closed,0,Gamma Collections,2023-05-11,2024-08-04,Missing,Manual
L-100373,B-57349,Personal,2018-06-16,2021-05-31,167417.13,32240.87,0.064,36,RI,Other,C,14 years,50k-100k,Charged Off,135,Gamma Collections,2020-12-07,2024-07-07,Available,Manual
L-100374,B-99015,Personal,2020-01-05,2022-12-20,499368.05,246347.6,0.0426,36,NH,Medical Expenses,F,2 years,<50k,Late (16-30 days),22,Delta Financial,2022-01-15,2024-02-24,Missing,Legacy
L-100375,B-57672,Mortgage,2021-10-19,2026-09-23,299505.61,267317.46,0.0447,60,NV,Other,D,8 years,100k-150k,Closed,0,Delta Financial,2022-11-17,2024-08-22,Expired,Manual
L-100376,B-77032,Personal,2019-08-27,2049-03-22,58478.15,17575.72,0.0897,360,SD,Home Improvement,A,3 years,<50k,Closed,0,Alpha Servicing,2021-02-17,2024-01-06,Expired,LendingWeb
L-100377,B-30019,Personal,2019-01-30,2022-01-14,332234.9,171419.63,0.0891,36,NJ,Home Improvement,C,15 years,>150k,Charged Off,97,Gamma Collections,2021-06-06,2024-01-25,Available,Manual
L-100378,B-25615,Student,2023-01-18,2032-11-26,427172.77,193955.62,-0.010439705231080842,120,ID,Medical Expenses,F,9 years,50k-100k,Default,141,Beta Loan Servicers,2024-01-02,2024-07-16,Available,Manual
L-100379,B-96517,Student,2023-05-04,2028-04-07,255809.1,105676.75,0.0894,60,MO,Medical Expenses,F,11 years,100k-150k,Late (31-120 days),46,Alpha Servicing,2025-01-27,2024-01-05,Pending,LendingWeb
L-100380,B-86541,Auto,2021-10-29,2051-05-25,53188.27,20004.88,0.0729,360,MN,Debt Consolidation,F,7 years,50k-100k,Late (16-30 days),26,Gamma Collections,2023-07-27,2024-02-23,Available,LendingWeb
L-100381,B-25003,Personal,2019-11-27,2022-11-11,271516.32,35270.54,0.1089,36,NV,Medical Expenses,E,13 years,100k-150k,Current,0,Delta Financial,2021-08-20,2024-01-11,Expired,Manual
L-100382,B-52260,Auto,2023-06-24,2026-06-08,346977.66,91854.23,0.0896,36,WI,Other,C,5 years,100k-150k,Late (31-120 days),142,Beta Loan Servicers,2024-12-13,2024-02-27,Missing,LendingWeb
