loan_id,document_status
L-101609,Pending
L-101610,Pending
L-101611,Missing
L-101612,Pending
L-101613,Pending
L-101614,Expired
L-101615,Expired
L-101616,Expired
L-101617,Expired
L-101618,Available
L-101619,Missing
L-101620,Expired
L-101621,Pending
L-101622,Pending
L-101623,Available
L-101624,Available
L-101625,Available
L-101627,Pending
L-101628,Pending
L-101629,Expired
L-101630,Expired
L-101631,Missing
L-101632,Missing
L-101633,Missing
L-101634,Pending
L-101635,Missing
L-101636,Expired
L-101637,Available
L-101638,Available
L-101639,Pending
L-101640,Available
L-101641,Missing
L-101642,Expired
L-101643,Available
L-101644,Expired
L-101645,Expired
L-101646,Available
L-101647,Pending
L-101648,Missing
L-101649,Expired
L-101650,Available
L-101651,Expired
L-101652,Available
L-101653,Expired
L-101654,Missing
L-101655,Available
L-101656,Missing
L-101657,Available
L-101658,Missing
L-101659,Missing
L-101660,Available
L-101661,Available
L-101662,Missing
L-101663,Available
L-101664,Expired
L-101665,Expired
L-101666,Expired
L-101667,Expired
L-101668,Missing
L-101669,Expired
L-101670,Missing
L-101671,Available
L-101672,Missing
L-101673,Expired
L-101674,Missing
L-101675,Pending
L-101676,Pending
L-101678,Missing
L-101679,Expired
L-101680,Pending
L-101681,Expired
L-101682,Expired
L-101683,Available
L-101684,Expired
L-101685,Available
L-101686,Available
L-101687,Pending
L-101688,Expired
L-101689,Pending
L-101690,Expired
L-101691,Pending
L-101692,Missing
L-101693,Expired
L-101694,Expired
L-101695,Expired
L-101696,Available
L-101697,Pending
L-101698,Pending
L-101699,Expired
L-101700,Expired
L-101701,Missing
L-101702,Missing
L-101703,Available
L-101704,Expired
L-101705,Pending
L-101706,Available
L-101707,Pending
L-101708,Pending
L-101709,Expired
L-101710,Expired
L-101711,Missing
L-101712,Available
L-101713,Pending
L-101714,Expired
L-101715,Available
L-101716,Available
L-101717,Missing
L-101718,Pending
L-101719,Missing
L-101720,Available
L-101721,Missing
L-101722,Missing
L-101723,Expired
L-101724,Expired
L-101725,Missing
L-101726,Pending
L-101727,Pending
L-101728,Expired
L-101729,Available
L-101730,Available
L-101731,Pending
L-101732,Available
L-101733,Pending
L-101734,Available
L-101735,Available
L-101736,Pending
L-101737,Expired
L-101738,Available
L-101739,Pending
L-101740,Expired
L-101741,Available
L-101742,Available
L-101743,Available
L-101744,Available
L-101745,Available
L-101746,Available
L-101747,Expired
L-101748,Missing
L-101749,Pending
L-101750,Pending
L-101751,Expired
L-101752,Expired
L-101753,Missing
L-101754,Pending
L-101755,Expired
L-101756,Pending
L-101757,Missing
L-101758,Expired
L-101759,Missing
L-101760,Available
L-101761,Pending
L-101762,Available
L-101763,Missing
L-101764,Available
L-101765,Pending
L-101766,Expired
L-101767,Expired
L-101769,Available
L-101770,Missing
L-101771,Missing
L-101772,Available
L-101773,Missing
L-101774,Available
L-101775,Pending
L-101776,Pending
L-101777,Missing
L-101778,Pending
L-101779,Missing
L-101780,Pending
L-101781,Available
L-101782,Available
L-101783,Available
L-101784,Available
L-101785,Missing
L-101786,Pending
L-101787,Pending
L-101788,Available
L-101789,Pending
L-101790,Missing
L-101791,Pending
L-101792,Available
L-101793,Missing
L-101794,Pending
L-101795,Expired
L-101796,Available
L-101797,Missing
L-101798,Missing
L-101799,Missing
L-101800,Expired
L-101801,Expired
L-101802,Expired
L-101803,Expired
L-101804,Expired
L-101805,Available
L-101806,Expired
L-101807,Missing
L-101808,Pending
L-101809,Available
L-101810,Missing
L-101811,Pending
L-101812,Available
L-101813,Missing
L-101815,Expired
L-101816,Missing
L-101817,Expired
L-101818,Pending
L-101819,Pending
L-101820,Missing
L-101821,Available
L-101822,Available
L-101823,Missing
L-101824,Expired
L-101825,Missing
L-101826,Missing
L-101827,Missing
L-101828,Expired
L-101829,Available
L-101830,Missing
L-101831,Expired
L-101832,Expired
L-101833,Missing
L-101834,Missing
L-101835,Available
L-101836,Expired
L-101837,Available
L-101838,Pending
L-101839,Pending
L-101840,Available
L-101841,Pending
L-101842,Available
L-101843,Missing
L-101844,Missing
L-101845,Available
L-101846,Available
L-101847,Expired
L-101848,Expired
L-101849,Available
L-101850,Pending
L-101851,Expired
L-101852,Expired
L-101853,Expired
L-101854,Expired
L-101855,Expired
L-101856,Available
L-101857,Missing
L-101858,Missing
L-101859,Available
L-101860,Missing
L-101861,Available
L-101862,Missing
L-101863,Expired
L-101864,Pending
L-101865,Expired
L-101866,Pending
L-101867,Available
L-101868,Pending
L-101869,Missing
L-101870,Missing
L-101871,Available
L-101872,Missing
L-101873,Expired
L-101874,Available
L-101875,Expired
L-101876,Expired
L-101877,Expired
L-101878,Expired
L-101879,Available
L-101880,Missing
L-101881,Pending
L-101882,Expired
L-101883,Missing
L-101884,Expired
L-101885,Pending
L-101886,Pending
L-101887,Expired
L-101888,Available
L-101889,Missing
L-101890,Expired
L-101891,Pending
L-101892,Expired
L-101893,Expired
L-101894,Pending
L-101895,Pending
L-101896,Available
L-101897,Pending
L-101898,Pending
L-101899,Missing
L-101900,Expired
L-101901,Pending
L-101902,Missing
L-101903,Pending
L-101904,Expired
L-101905,Pending
L-101906,Pending
L-101907,Missing
L-101908,Pending
L-101909,Missing
L-101910,Expired
L-101911,Available
L-101912,Available
L-101913,Pending
L-101914,Available
L-101915,Available
L-101917,Available
L-101918,Pending
L-101919,Expired
L-101920,Expired
L-101921,Missing
L-101923,Missing
L-101924,Pending
L-101925,Available
L-101926,Pending
L-101927,Expired
L-101928,Expired
L-101929,Pending
L-101930,Expired
L-101931,Expired
L-101932,Available
L-101933,Pending
L-101934,Available
L-101935,Expired
L-101936,Available
L-101937,Missing
L-101938,Missing
L-101939,Available
L-101940,Missing
L-101941,Pending
L-101942,Expired
L-101943,Pending
L-101944,Available
L-101945,Missing
L-101946,Expired
L-101947,Pending
L-101948,Expired
L-101949,Available
L-101950,Missing
L-101951,Pending
L-101952,Pending
L-101953,Expired
L-101954,Missing
L-101628,Missing
L-101956,Missing
L-101957,Missing
L-101958,Missing
L-101959,Pending
L-101960,Pending
L-101961,Missing
L-101962,Pending
L-101963,Pending
L-101964,Expired
L-101965,Available
L-101966,Pending
L-101967,Available
L-101968,Pending
L-101969,Pending
L-101970,Expired
L-101971,Missing
L-101972,Expired
L-101973,Missing
L-101974,Available
L-101975,Missing
L-101976,Missing
L-101977,Pending
L-101978,Missing
L-101979,Expired
L-101980,Available
L-101981,Expired
L-101982,Available
L-101983,Expired
L-101984,Missing
L-101985,Expired
L-101986,Expired
L-101987,Pending
L-101988,Expired
L-101989,Expired
L-101990,Missing
L-101991,Missing
L-101992,Expired
L-101993,Available
L-101994,Missing
L-101995,Pending
L-101996,Pending
L-101997,Expired
L-101998,Expired
L-101999,Missing
L-999948,Expired
L-999548,Available
L-999354,Missing
L-999522,Available
L-999398,Missing
L-999502,Missing
L-999556,Pending
L-999613,Available
L-999447,Missing
L-999653,Missing
L-999227,Missing
L-999885,Available
L-999237,Expired
L-999415,Missing
L-999331,Pending
L-999666,Missing
L-999883,Pending
L-999431,Available
L-999147,Pending
L-999805,Pending
